0,Проксима Центавра b,"1,173±0,086",-39,425.0
1,Глизе 163 c,69,"60 (при атмосфере, сходной с земной)",50.0
2,Глизе 581 c,536,"40 (при атмосфере, сходной с земной)",203.0
3,Глизе 581 d,709,-18,203.0
4,Глизе 581 g,3178,0-40,203.0
5,HD 40307 g,7.1,"-19,99[1]",418.0
6,Глизе 667 C с[2],"3,8±0,4","27(при атмосфере, сходной с земной)",227.0
7,Глизе 667 C e[3],2.7,-104[1],227.0
8,Глизе 667 C f[3],2.7,-83[1],227.0
9,HD 85512 b[4],"3,6 ± 0,5",25,36.0
10,Kepler-22 b[5],"13,8 (при земной плотности)","22 (при атмосфере, сходной с земной)",620.0
11,Kepler-61 b,-,-,1100.0
12,Kepler-62 e,<36,~17 (при атмосферном давлении 100 КПа)[1],1200.0
13,Kepler-62 f,<35,"-5,77[1]",1200.0
14,Kepler-186 f,"0,32-3,77",-,492.0
15,Тау Кита е,43,"40,3[1]",119.0
16,Каптейн b,48,-,13.0
17,Каптейн с,7,-,13.0
18,Глизе 832 c,4.99,-,16.0
19,Грумбридж 34 А b (Gl 15 A b),535,-,11.7
20,Глизе 422 b,9.9,-,41.0
21,Kepler-441 b,-,-,92629.0
22,Kepler-438 b,-,0-60,475.0
23,Kepler-440 b,-,~0,851.0
24,Kepler-442 b,-,-,1120.0
25,Kepler-296 e,-,-,10896.0
26,Kepler-296 f,-,-,10896.0
27,Kepler-452 b,4.7,-8,1402.0
28,Wolf 1061 c,4.3,-,13.8
29,TRAPPIST-1 d,"0,33 ± 0,15",+15,39.5
30,TRAPPIST-1 e,024,-22,39.5
31,TRAPPIST-1 f,"0,36 ± 0,12",-54,39.5
32,TRAPPIST-1 h,"0,086 ± 0,084","−104,1",39.5
33,Росс_128_b,"1,40 ± 0,21",-4,11.0
34,K2-18_b,"8,63 ± 1,35",-8±5,111.0
35,TOI-700_d,"1,72 ± 0,63",-,1014.0
36,Kepler-160 d,-,-,3100.0
